Shipment ID,Origin,Destination,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Planned Delivery Duration,Actual Delivery Delay,Shipment Month,Shipment Day of Week,Is Weekend,Season
SHIP000024,5,0,3,0.4083333333333334,0,1,0,0.16666666666666669,0.47368421052631576,12,2,0,1
SHIP000025,3,2,1,0.18388888888888888,2,2,1,0.0,0.5789473684210527,11,3,0,4
SHIP000026,6,2,0,0.6266666666666667,0,1,0,0.25,0.47368421052631576,5,0,0,2
SHIP000027,4,9,2,0.8711111111111112,0,0,1,0.3333333333333333,0.5789473684210527,10,1,0,4
SHIP000028,9,2,0,0.9983333333333333,0,1,0,0.4166666666666667,0.47368421052631576,8,5,1,3
SHIP000029,0,6,1,0.008333333333333345,0,1,0,0.0,0.47368421052631576,8,5,1,3
SHIP000030,4,9,2,0.76,2,0,1,0.3333333333333333,0.631578947368421,8,5,1,3
SHIP000031,5,0,1,0.015000000000000013,0,1,0,0.0,0.47368421052631576,4,5,1,2
SHIP000032,0,4,1,0.7894444444444444,2,0,1,0.3333333333333333,0.631578947368421,5,4,0,2
SHIP000033,0,8,3,0.7677777777777779,0,1,1,0.3333333333333333,0.5789473684210527,4,4,0,2
SHIP000034,9,2,1,0.33666666666666667,0,1,0,0.08333333333333333,0.47368421052631576,10,3,0,4
SHIP000035,8,3,2,0.05055555555555555,0,1,1,0.0,0.7368421052631579,1,1,0,1
SHIP000036,2,6,1,0.325,1,1,1,0.08333333333333333,0.5789473684210527,10,1,0,4
SHIP000037,7,2,3,0.9366666666666665,0,1,0,0.4166666666666667,0.47368421052631576,11,3,0,4
SHIP000038,9,8,2,0.42277777777777775,0,1,0,0.16666666666666669,0.47368421052631576,7,0,0,3
SHIP000039,3,5,2,0.9822222222222221,0,1,1,0.4166666666666667,0.631578947368421,2,4,0,1
SHIP000040,2,9,1,0.07388888888888889,0,1,1,0.0,0.631578947368421,5,2,0,2
SHIP000041,2,9,2,0.7294444444444443,0,0,1,0.3333333333333333,0.5789473684210527,6,2,0,3
SHIP000042,0,6,1,0.5711111111111111,0,2,1,0.25,0.5263157894736842,12,0,0,1
SHIP000043,6,8,1,0.37333333333333335,2,0,1,0.08333333333333333,0.631578947368421,6,0,0,3
SHIP000044,8,5,0,0.34,0,1,0,0.08333333333333333,0.47368421052631576,11,1,0,4
SHIP000045,0,3,0,0.5800000000000001,0,1,1,0.25,0.5789473684210527,4,5,1,2
SHIP000046,8,0,3,0.08611111111111111,0,2,1,0.0,0.5263157894736842,11,2,0,4
SHIP000047,8,5,0,0.5516666666666667,0,1,0,0.16666666666666669,0.47368421052631576,5,4,0,2
SHIP000048,9,0,3,0.6205555555555555,0,2,1,0.25,0.5263157894736842,8,0,0,3
SHIP000049,4,1,2,0.9827777777777778,1,1,1,0.4166666666666667,0.5789473684210527,5,0,0,2
SHIP000050,5,7,3,0.41777777777777775,0,1,0,0.16666666666666669,0.47368421052631576,2,3,0,1
SHIP000051,2,3,1,0.22444444444444445,0,2,1,0.08333333333333333,0.5263157894736842,3,0,0,2
SHIP000052,6,1,3,0.5411111111111111,0,1,0,0.16666666666666669,0.47368421052631576,1,0,0,1
SHIP000053,7,4,2,0.09,0,1,0,0.0,0.47368421052631576,2,6,1,1
SHIP000054,3,6,0,0.44722222222222224,0,2,1,0.16666666666666669,0.5263157894736842,2,1,0,1
SHIP000055,1,2,0,0.5833333333333333,0,1,1,0.25,0.631578947368421,3,6,1,2
SHIP000056,4,9,3,0.6033333333333333,1,1,1,0.25,0.5789473684210527,10,4,0,4
SHIP000057,6,5,0,0.7338888888888888,1,1,1,0.3333333333333333,0.8421052631578947,7,0,0,3
SHIP000058,2,8,1,0.4005555555555556,1,1,1,0.16666666666666669,0.5789473684210527,4,0,0,2
SHIP000059,0,6,1,0.673888888888889,2,1,1,0.25,0.5263157894736842,3,5,1,2
SHIP000060,7,1,1,0.19666666666666666,0,2,1,0.0,0.5263157894736842,3,4,0,2
SHIP000061,2,9,1,0.17944444444444446,0,1,1,0.0,0.631578947368421,1,4,0,1
SHIP000062,5,8,0,0.6483333333333334,0,2,1,0.25,0.5263157894736842,9,4,0,4
SHIP000063,2,3,2,0.8205555555555555,2,1,1,0.3333333333333333,0.7368421052631579,8,3,0,3
SHIP000064,4,7,0,0.1433333333333333,0,1,0,0.0,0.47368421052631576,3,5,1,2
SHIP000065,3,6,0,0.16444444444444445,0,2,1,0.0,0.631578947368421,12,0,0,1
SHIP000067,7,9,0,0.14166666666666666,0,1,1,0.0,0.6842105263157894,5,2,0,2
SHIP000068,1,6,3,0.19444444444444448,0,1,1,0.0,0.5789473684210527,7,3,0,3
SHIP000069,7,6,0,0.8433333333333333,0,2,1,0.3333333333333333,0.5263157894736842,1,5,1,1
SHIP000070,2,4,2,0.2316666666666667,0,2,1,0.08333333333333333,0.5263157894736842,8,2,0,3
SHIP000071,2,1,0,0.37722222222222224,0,0,1,0.08333333333333333,0.6842105263157894,12,1,0,1
SHIP000072,7,8,1,0.2683333333333333,0,2,1,0.08333333333333333,0.5263157894736842,12,0,0,1
SHIP000073,7,0,1,0.23833333333333334,0,2,1,0.08333333333333333,0.5263157894736842,1,3,0,1
SHIP000074,4,3,1,0.49166666666666664,0,1,0,0.16666666666666669,0.47368421052631576,12,2,0,1
SHIP000075,8,3,3,0.5800000000000001,3,2,1,0.25,0.6842105263157894,3,0,0,2
SHIP000076,8,2,2,0.7877777777777777,2,1,1,0.3333333333333333,0.5263157894736842,11,1,0,4
SHIP000077,3,6,0,0.53,0,2,1,0.16666666666666669,0.5263157894736842,7,5,1,3
SHIP000078,6,1,1,0.9333333333333333,2,2,1,0.4166666666666667,0.5789473684210527,4,4,0,2
SHIP000079,8,4,0,0.07555555555555557,0,1,0,0.0,0.47368421052631576,9,5,1,4
SHIP000080,9,5,1,0.9161111111111111,0,2,1,0.4166666666666667,0.7894736842105263,10,4,0,4
SHIP000081,5,0,3,0.12277777777777779,2,2,1,0.0,0.5789473684210527,2,5,1,1
SHIP000082,0,1,3,0.2916666666666667,0,2,1,0.08333333333333333,0.631578947368421,12,1,0,1
SHIP000083,8,2,3,0.6072222222222223,0,1,1,0.25,0.5789473684210527,9,1,0,4
SHIP000084,2,7,1,0.9155555555555555,1,1,1,0.4166666666666667,0.5789473684210527,5,5,1,2
SHIP000085,5,6,2,0.6405555555555555,0,1,1,0.25,0.5789473684210527,12,4,0,1
SHIP000086,0,1,2,0.20222222222222225,0,1,0,0.0,0.47368421052631576,4,0,0,2
SHIP000087,6,5,2,0.8966666666666667,0,1,0,0.4166666666666667,0.47368421052631576,9,0,0,4
SHIP000088,7,3,3,0.11555555555555555,1,1,1,0.0,0.8421052631578947,7,1,0,3
SHIP000089,1,6,2,0.21500000000000002,0,1,0,0.0,0.47368421052631576,4,6,1,2
SHIP000090,2,5,0,0.45388888888888884,0,2,1,0.16666666666666669,0.5263157894736842,4,5,1,2
SHIP000091,1,7,3,0.23722222222222222,2,2,1,0.08333333333333333,0.7368421052631579,3,6,1,2
SHIP000092,8,6,3,0.22333333333333333,0,1,1,0.08333333333333333,0.7368421052631579,3,6,1,2
SHIP000093,9,3,2,0.17777777777777776,0,1,1,0.0,0.631578947368421,4,0,0,2
SHIP000094,5,1,1,0.6566666666666667,0,0,1,0.25,0.5789473684210527,11,4,0,4
SHIP000095,9,4,1,0.1766666666666667,0,0,1,0.0,0.6842105263157894,4,4,0,2
SHIP000096,3,9,2,0.7694444444444444,1,1,1,0.3333333333333333,0.5789473684210527,3,5,1,2
SHIP000097,8,7,0,0.9227777777777777,0,1,1,0.4166666666666667,0.5789473684210527,12,4,0,1
SHIP000098,2,4,3,0.01777777777777778,1,1,1,0.0,0.5789473684210527,3,4,0,2
SHIP000099,4,8,0,0.4666666666666666,1,0,1,0.16666666666666669,0.6842105263157894,5,1,0,2
SHIP000100,8,0,0,0.6744444444444444,3,2,1,0.25,0.6842105263157894,11,1,0,4
SHIP000102,5,0,2,0.8377777777777777,0,0,1,0.3333333333333333,0.5789473684210527,10,5,1,4
SHIP000103,0,1,2,0.9105555555555556,0,0,1,0.4166666666666667,0.7368421052631579,2,2,0,1
SHIP000104,5,3,0,0.7194444444444446,0,2,1,0.25,0.5263157894736842,5,1,0,2
SHIP000105,3,0,1,0.6333333333333333,0,1,0,0.25,0.47368421052631576,4,2,0,2
SHIP000106,6,0,2,0.09111111111111111,0,0,1,0.0,0.5789473684210527,5,2,0,2
SHIP000107,6,0,3,0.8477777777777777,1,2,1,0.3333333333333333,0.631578947368421,12,0,0,1
SHIP000108,8,0,3,0.54,2,1,1,0.16666666666666669,0.5263157894736842,3,3,0,2
SHIP000109,4,6,1,0.16722222222222222,0,0,1,0.0,0.5789473684210527,12,5,1,1
SHIP000110,5,4,1,0.4666666666666666,0,0,1,0.16666666666666669,0.5789473684210527,4,1,0,2
SHIP000111,8,0,2,0.7972222222222223,1,1,1,0.3333333333333333,0.7368421052631579,4,4,0,2
SHIP000112,0,6,3,0.5883333333333334,0,2,1,0.25,0.5263157894736842,5,3,0,2
SHIP000113,7,0,3,0.32166666666666666,0,1,0,0.08333333333333333,0.47368421052631576,3,2,0,2
SHIP000114,0,8,2,0.33055555555555555,0,2,1,0.08333333333333333,0.7894736842105263,7,3,0,3
SHIP000115,8,0,1,0.008333333333333345,0,1,0,0.0,0.47368421052631576,1,4,0,1
SHIP000116,4,8,0,0.28833333333333333,0,0,1,0.08333333333333333,0.5789473684210527,1,4,0,1
SHIP000117,2,1,1,0.7916666666666667,0,1,0,0.3333333333333333,0.47368421052631576,10,4,0,4
SHIP000118,6,3,3,0.9888888888888889,0,0,1,0.4166666666666667,0.7368421052631579,7,4,0,3
SHIP000119,9,7,2,0.9649999999999999,0,1,1,0.4166666666666667,0.5789473684210527,5,6,1,2
SHIP000121,9,8,3,0.08944444444444444,0,2,1,0.0,0.5263157894736842,1,2,0,1
SHIP000122,1,6,2,0.798888888888889,0,2,1,0.3333333333333333,0.5263157894736842,9,0,0,4
SHIP000123,5,1,2,0.835,0,1,0,0.3333333333333333,0.47368421052631576,5,4,0,2
SHIP000124,1,3,1,0.11666666666666667,0,1,0,0.0,0.47368421052631576,2,5,1,1
SHIP000125,3,1,3,0.06722222222222224,0,2,1,0.0,0.5263157894736842,3,4,0,2
SHIP000127,0,4,1,0.4183333333333334,0,1,0,0.16666666666666669,0.47368421052631576,3,5,1,2
SHIP000128,8,4,0,0.9588888888888889,0,2,1,0.4166666666666667,0.5263157894736842,3,4,0,2
SHIP000129,5,4,0,0.6183333333333334,0,0,1,0.25,0.5789473684210527,3,3,0,2
SHIP000130,8,0,2,0.21000000000000002,0,1,1,0.0,0.5789473684210527,6,3,0,3
SHIP000132,1,3,1,0.48500000000000004,0,2,1,0.16666666666666669,0.5263157894736842,2,2,0,1
SHIP000133,4,2,3,0.5111111111111111,0,1,0,0.16666666666666669,0.47368421052631576,1,5,1,1
SHIP000134,0,4,1,0.8727777777777779,0,0,1,0.3333333333333333,0.6842105263157894,12,4,0,1
SHIP000135,5,9,3,0.25333333333333335,0,1,0,0.08333333333333333,0.47368421052631576,7,1,0,3
SHIP000136,9,4,0,0.5066666666666666,0,2,1,0.16666666666666669,0.7368421052631579,3,2,0,2
SHIP000138,2,4,0,0.5494444444444444,0,1,0,0.16666666666666669,0.47368421052631576,11,0,0,4
SHIP000139,4,8,2,0.7833333333333334,0,2,1,0.3333333333333333,0.5263157894736842,4,0,0,2
SHIP000140,7,2,1,0.586111111111111,1,1,1,0.25,0.5789473684210527,12,0,0,1
SHIP000141,2,0,0,0.5005555555555556,0,2,1,0.16666666666666669,0.5263157894736842,5,2,0,2
SHIP000142,8,6,0,0.6300000000000001,2,2,1,0.25,0.5789473684210527,7,5,1,3
SHIP000143,2,6,1,0.8794444444444445,2,1,1,0.3333333333333333,0.5263157894736842,6,0,0,3
SHIP000144,2,9,3,0.22388888888888892,0,1,0,0.08333333333333333,0.47368421052631576,4,6,1,2
SHIP000145,1,6,1,0.5972222222222223,0,1,0,0.25,0.47368421052631576,10,5,1,4
SHIP000146,2,3,0,0.21166666666666667,0,1,0,0.0,0.47368421052631576,4,4,0,2
SHIP000147,9,0,0,0.6522222222222223,0,1,1,0.25,0.631578947368421,5,6,1,2
SHIP000148,0,4,2,0.0016666666666666774,1,0,1,0.0,0.8421052631578947,10,6,1,4
SHIP000149,8,6,0,0.15333333333333332,1,1,1,0.0,0.5789473684210527,3,4,0,2
SHIP000150,4,5,3,0.2222222222222222,0,1,0,0.08333333333333333,0.47368421052631576,4,0,0,2
SHIP000151,9,7,1,0.6933333333333334,0,1,1,0.25,0.7368421052631579,2,2,0,1
SHIP000152,6,7,3,0.6833333333333333,0,1,0,0.25,0.47368421052631576,11,3,0,4
SHIP000154,9,7,2,0.76,3,1,1,0.3333333333333333,0.7368421052631579,7,4,0,3
SHIP000155,9,6,2,0.7655555555555555,0,0,1,0.3333333333333333,0.5789473684210527,8,1,0,3
SHIP000156,6,8,1,0.5405555555555555,2,1,1,0.16666666666666669,0.5263157894736842,1,6,1,1
SHIP000157,4,0,2,0.3477777777777778,0,1,1,0.08333333333333333,0.6842105263157894,12,1,0,1
SHIP000158,0,1,3,0.48166666666666663,0,1,0,0.16666666666666669,0.47368421052631576,3,6,1,2
SHIP000159,1,4,2,0.8688888888888888,0,2,1,0.3333333333333333,0.5263157894736842,8,0,0,3
SHIP000160,3,0,3,0.5766666666666667,0,0,1,0.25,0.5789473684210527,4,0,0,2
SHIP000161,4,0,1,0.20222222222222225,0,2,1,0.0,0.5263157894736842,5,2,0,2
SHIP000162,0,6,0,0.4205555555555555,2,1,1,0.16666666666666669,0.5263157894736842,6,5,1,3
SHIP000163,7,5,3,0.8033333333333332,0,2,1,0.3333333333333333,0.5263157894736842,2,6,1,1
SHIP000164,3,1,1,0.2361111111111111,0,1,0,0.08333333333333333,0.47368421052631576,2,0,0,1
SHIP000165,2,1,1,0.9655555555555555,2,1,1,0.4166666666666667,0.5263157894736842,7,0,0,3
SHIP000166,1,9,2,0.04555555555555557,0,0,1,0.0,0.5789473684210527,8,3,0,3
SHIP000167,6,8,2,0.7972222222222223,0,2,1,0.3333333333333333,0.5263157894736842,7,5,1,3
SHIP000168,7,9,1,0.8377777777777777,0,1,1,0.3333333333333333,0.631578947368421,2,2,0,1
SHIP000169,6,1,3,0.455,0,1,0,0.16666666666666669,0.47368421052631576,8,1,0,3
SHIP000170,3,8,1,0.17888888888888888,3,1,1,0.0,0.631578947368421,1,3,0,1
SHIP000171,1,0,3,0.425,0,2,1,0.16666666666666669,0.5263157894736842,4,3,0,2
SHIP000172,6,4,2,0.4777777777777778,0,1,0,0.16666666666666669,0.47368421052631576,5,6,1,2
SHIP000173,4,1,3,0.701111111111111,0,2,1,0.25,0.5263157894736842,4,4,0,2
SHIP000174,7,3,0,0.6388888888888888,0,0,1,0.25,0.5789473684210527,4,6,1,2
SHIP000175,9,5,1,0.865,0,2,1,0.3333333333333333,0.7368421052631579,10,2,0,4
SHIP000176,9,5,2,0.4333333333333333,0,0,1,0.16666666666666669,0.6842105263157894,2,2,0,1
SHIP000177,5,0,2,0.053333333333333344,0,0,1,0.0,0.5789473684210527,3,2,0,2
SHIP000178,2,3,0,0.40499999999999997,3,1,1,0.16666666666666669,0.631578947368421,3,6,1,2
SHIP000179,5,3,2,0.02111111111111111,0,1,1,0.0,0.7368421052631579,2,5,1,1
SHIP000180,8,9,3,0.6955555555555555,0,1,0,0.25,0.47368421052631576,8,0,0,3
SHIP000181,6,2,0,0.6866666666666668,0,1,0,0.25,0.47368421052631576,3,1,0,2
SHIP000182,5,2,0,0.24,0,2,1,0.08333333333333333,0.5263157894736842,1,2,0,1
SHIP000183,8,5,0,0.5716666666666668,2,2,1,0.25,0.5789473684210527,12,6,1,1
SHIP000184,4,5,1,0.4305555555555555,0,2,1,0.16666666666666669,0.5263157894736842,6,3,0,3
SHIP000185,0,8,0,0.19111111111111112,0,0,1,0.0,0.5789473684210527,10,6,1,4
SHIP000186,9,7,1,0.8716666666666666,2,0,1,0.3333333333333333,0.631578947368421,12,6,1,1
SHIP000187,1,5,3,0.9777777777777776,1,0,1,0.4166666666666667,0.894736842105263,10,6,1,4
SHIP000188,0,6,2,0.7955555555555556,0,0,1,0.3333333333333333,0.7368421052631579,7,3,0,3
SHIP000190,4,8,1,0.6877777777777778,0,2,1,0.25,0.5263157894736842,2,5,1,1
SHIP000191,9,5,2,0.46555555555555556,1,1,1,0.16666666666666669,0.5789473684210527,3,3,0,2
SHIP000192,9,1,3,0.42611111111111116,1,1,1,0.16666666666666669,0.5789473684210527,8,6,1,3
SHIP000193,9,2,3,0.024444444444444463,2,2,1,0.0,0.8421052631578947,4,2,0,2
SHIP000194,2,3,2,0.3955555555555556,0,0,1,0.16666666666666669,0.5789473684210527,6,2,0,3
SHIP000195,2,5,2,0.47000000000000003,3,1,1,0.16666666666666669,0.631578947368421,5,0,0,2
SHIP000196,0,6,0,0.18944444444444447,0,2,1,0.0,0.5263157894736842,7,0,0,3
SHIP000197,1,9,2,0.8600000000000001,0,2,1,0.4166666666666667,0.42105263157894735,9,2,0,4
SHIP000198,2,6,2,0.6661111111111111,0,2,1,0.25,0.5263157894736842,3,0,0,2
SHIP000199,0,5,0,0.45722222222222225,0,1,0,0.16666666666666669,0.47368421052631576,4,3,0,2
SHIP000200,6,4,2,0.8244444444444445,0,2,1,0.3333333333333333,0.5263157894736842,12,3,0,1
SHIP000202,7,4,0,0.8122222222222222,3,1,1,0.3333333333333333,0.631578947368421,2,4,0,1
SHIP000203,9,1,2,0.41944444444444445,2,1,1,0.16666666666666669,0.5263157894736842,3,4,0,2
SHIP000204,1,9,3,0.37222222222222223,1,1,1,0.08333333333333333,0.5789473684210527,3,3,0,2
SHIP000205,9,7,1,0.565,2,2,1,0.25,0.5789473684210527,8,0,0,3
SHIP000206,7,6,1,0.4616666666666667,0,1,0,0.16666666666666669,0.47368421052631576,4,0,0,2
SHIP000207,1,7,1,0.9022222222222223,0,2,1,0.4166666666666667,0.5263157894736842,5,2,0,2
SHIP000208,0,7,3,0.3288888888888889,0,1,0,0.08333333333333333,0.47368421052631576,7,5,1,3
SHIP000209,1,3,2,0.2916666666666667,0,1,0,0.08333333333333333,0.47368421052631576,2,3,0,1
SHIP000210,1,8,3,0.4083333333333334,2,2,1,0.16666666666666669,0.5789473684210527,8,5,1,3
SHIP000211,0,1,2,0.24333333333333335,2,1,1,0.08333333333333333,0.5263157894736842,5,6,1,2
SHIP000212,6,8,0,0.26333333333333336,1,1,1,0.08333333333333333,0.7894736842105263,5,3,0,2
SHIP000213,0,2,2,0.08277777777777778,3,1,1,0.0,0.894736842105263,12,6,1,1
SHIP000214,9,8,2,0.37277777777777776,0,0,1,0.08333333333333333,0.5789473684210527,11,5,1,4
SHIP000216,7,5,3,0.11722222222222223,0,1,0,0.0,0.47368421052631576,3,1,0,2
SHIP000217,2,0,3,0.8994444444444445,0,2,1,0.4166666666666667,0.5263157894736842,7,2,0,3
SHIP000218,0,3,0,0.335,2,2,1,0.08333333333333333,0.7894736842105263,10,3,0,4
SHIP000219,6,0,0,0.7677777777777779,0,1,0,0.3333333333333333,0.47368421052631576,4,4,0,2
SHIP000220,6,8,2,0.6155555555555556,0,2,1,0.25,0.5263157894736842,6,2,0,3
SHIP000221,6,5,3,0.34055555555555556,0,1,0,0.08333333333333333,0.47368421052631576,7,1,0,3
SHIP000222,7,8,0,0.6055555555555556,0,2,1,0.25,0.7894736842105263,2,0,0,1
SHIP000223,0,2,1,0.5177777777777779,2,1,1,0.16666666666666669,0.5263157894736842,11,3,0,4
SHIP000224,1,4,0,0.7377777777777779,0,2,1,0.3333333333333333,0.5263157894736842,4,3,0,2
SHIP000225,3,7,2,0.4238888888888889,0,2,1,0.16666666666666669,0.5263157894736842,4,6,1,2
SHIP000226,6,0,0,0.4827777777777778,2,1,1,0.16666666666666669,0.6842105263157894,1,6,1,1
SHIP000227,1,3,1,0.37277777777777776,0,1,0,0.08333333333333333,0.47368421052631576,1,3,0,1
SHIP000228,8,6,2,0.5494444444444444,0,2,1,0.16666666666666669,0.5263157894736842,3,0,0,2
SHIP000229,4,1,1,0.05611111111111111,2,1,1,0.0,0.5263157894736842,3,0,0,2
SHIP000230,4,1,2,0.7155555555555555,0,2,1,0.25,0.5263157894736842,11,4,0,4
SHIP000231,9,4,2,0.15055555555555555,0,0,1,0.0,0.7368421052631579,1,6,1,1
SHIP000232,8,0,1,0.26,2,0,1,0.08333333333333333,0.631578947368421,3,3,0,2
SHIP000233,3,7,1,0.6433333333333333,0,0,1,0.25,0.5789473684210527,3,1,0,2
SHIP000234,9,8,3,0.7272222222222222,1,0,1,0.3333333333333333,0.6842105263157894,2,2,0,1
SHIP000236,2,0,1,0.8383333333333334,0,0,1,0.3333333333333333,0.5789473684210527,3,1,0,2
SHIP000237,6,7,3,0.5955555555555556,0,1,1,0.25,0.631578947368421,7,5,1,3
SHIP000238,0,8,0,0.7522222222222221,0,2,1,0.3333333333333333,0.5263157894736842,4,4,0,2
SHIP000239,5,6,1,0.16333333333333333,2,2,1,0.0,0.7368421052631579,4,0,0,2
SHIP000240,6,5,3,0.16722222222222222,0,1,0,0.0,0.47368421052631576,4,0,0,2
SHIP000241,5,1,0,0.17388888888888887,1,1,1,0.0,0.5789473684210527,5,5,1,2
SHIP000242,0,2,0,0.4216666666666667,0,0,1,0.16666666666666669,0.5789473684210527,2,1,0,1
SHIP000243,4,1,1,0.32944444444444443,0,2,1,0.08333333333333333,0.7368421052631579,2,2,0,1
SHIP000244,7,5,2,0.49500000000000005,1,2,1,0.16666666666666669,0.631578947368421,2,3,0,1
SHIP000245,9,7,2,0.6905555555555556,0,2,1,0.25,0.5263157894736842,2,3,0,1
SHIP000246,5,0,2,0.5072222222222222,0,2,1,0.16666666666666669,0.5263157894736842,9,5,1,4
SHIP000247,2,8,2,0.30444444444444446,2,2,1,0.08333333333333333,0.5789473684210527,4,2,0,2
SHIP000248,2,6,0,0.3288888888888889,0,2,1,0.08333333333333333,0.5263157894736842,10,5,1,4
SHIP000249,8,2,0,0.02888888888888891,0,0,1,0.0,0.5789473684210527,2,2,0,1
SHIP000250,1,7,0,0.8105555555555555,0,2,1,0.3333333333333333,0.5263157894736842,12,3,0,1
SHIP000251,1,6,2,0.2811111111111111,1,0,1,0.08333333333333333,0.6842105263157894,6,0,0,3
SHIP000252,8,6,1,0.04055555555555557,0,1,0,0.0,0.47368421052631576,3,2,0,2
SHIP000253,4,5,3,0.38722222222222225,0,1,0,0.08333333333333333,0.47368421052631576,5,2,0,2
SHIP000254,7,3,0,0.1338888888888889,0,2,1,0.0,0.5263157894736842,12,2,0,1
SHIP000255,5,4,0,0.9638888888888888,0,2,1,0.4166666666666667,0.5263157894736842,11,3,0,4
SHIP000256,9,7,0,0.8605555555555555,3,2,1,0.3333333333333333,0.6842105263157894,5,2,0,2
SHIP000257,0,9,3,0.24888888888888888,0,2,1,0.08333333333333333,0.6842105263157894,10,0,0,4
SHIP000258,1,4,0,0.8922222222222222,0,0,1,0.4166666666666667,0.5789473684210527,12,4,0,1
SHIP000259,3,1,0,0.7333333333333334,0,1,0,0.3333333333333333,0.47368421052631576,5,4,0,2
SHIP000260,0,8,1,0.4744444444444445,0,1,0,0.16666666666666669,0.47368421052631576,5,4,0,2
SHIP000261,2,7,3,0.9616666666666667,0,2,1,0.4166666666666667,0.7894736842105263,2,1,0,1
SHIP000262,4,8,0,0.1527777777777778,0,0,1,0.0,0.5789473684210527,1,1,0,1
SHIP000263,5,8,0,0.5283333333333333,0,2,1,0.16666666666666669,0.5263157894736842,6,5,1,3
SHIP000264,9,8,2,0.4316666666666667,2,1,1,0.16666666666666669,0.5263157894736842,1,5,1,1
SHIP000265,0,2,0,0.38666666666666666,0,2,1,0.08333333333333333,0.5263157894736842,5,2,0,2
SHIP000266,9,7,2,0.1338888888888889,2,1,1,0.0,0.7894736842105263,11,1,0,4
SHIP000267,8,6,2,0.2861111111111111,2,2,1,0.08333333333333333,0.6842105263157894,2,2,0,1
SHIP000268,8,4,0,0.6666666666666667,0,1,0,0.25,0.47368421052631576,2,3,0,1
SHIP000269,0,8,3,0.09333333333333335,0,2,1,0.0,0.5263157894736842,2,0,0,1
SHIP000270,9,2,3,0.38833333333333336,0,2,1,0.08333333333333333,0.5263157894736842,1,5,1,1
SHIP000271,9,4,2,0.5238888888888888,1,2,1,0.16666666666666669,0.894736842105263,11,2,0,4
SHIP000272,4,7,0,0.5900000000000001,0,2,1,0.25,0.5263157894736842,5,5,1,2
SHIP000273,9,2,0,0.40444444444444444,0,1,1,0.16666666666666669,0.6842105263157894,5,4,0,2
SHIP000274,2,3,3,0.2972222222222222,0,1,0,0.08333333333333333,0.47368421052631576,10,0,0,4
SHIP000275,7,4,1,0.7105555555555556,0,1,0,0.25,0.47368421052631576,1,6,1,1
SHIP000276,1,2,3,0.16388888888888892,0,2,1,0.0,0.5263157894736842,1,6,1,1
SHIP000277,2,3,0,0.33111111111111113,0,2,1,0.16666666666666669,0.42105263157894735,1,0,0,1
