Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Planned Delivery Duration,Actual Delivery Delay,Shipment Month,Shipment Day of Week,Is Weekend
SHIP000021,7,9,2023-11-13,2023-11-19,2023-11-19,3,0.9061111111111111,0,1,0,1.0000000000000002,0.0,11,0,0
SHIP000022,5,2,2023-06-24,2023-06-29,2023-06-29,1,0.7344444444444445,0,1,0,0.8,0.0,6,5,1
SHIP000023,5,0,2023-05-04,2023-05-10,2023-05-11,3,0.9361111111111111,2,1,1,1.0000000000000002,0.1,5,3,0
SHIP000024,5,0,2023-12-20,2023-12-23,2023-12-23,3,0.4083333333333334,0,1,0,0.4000000000000001,0.0,12,2,0
SHIP000025,3,2,2023-11-30,2023-12-01,2023-12-03,1,0.18388888888888888,2,2,1,0.0,0.2,11,3,0
SHIP000026,6,2,2023-05-22,2023-05-26,2023-05-26,0,0.6266666666666667,0,1,0,0.6000000000000001,0.0,5,0,0
SHIP000027,4,9,2023-10-31,2023-11-05,2023-11-07,2,0.8711111111111112,0,0,1,0.8,0.2,10,1,0
SHIP000028,9,2,2023-08-19,2023-08-25,2023-08-25,0,0.9983333333333333,0,1,0,1.0000000000000002,0.0,8,5,1
SHIP000029,0,6,2023-08-12,2023-08-13,2023-08-13,1,0.008333333333333345,0,1,0,0.0,0.0,8,5,1
SHIP000030,4,9,2023-08-19,2023-08-24,2023-08-27,2,0.76,2,0,1,0.8,0.30000000000000004,8,5,1
SHIP000031,5,0,2024-04-13,2024-04-14,2024-04-14,1,0.015000000000000013,0,1,0,0.0,0.0,4,5,1
SHIP000032,0,4,2023-05-05,2023-05-10,2023-05-13,1,0.7894444444444444,2,0,1,0.8,0.30000000000000004,5,4,0
SHIP000033,0,8,2024-04-19,2024-04-24,2024-04-26,3,0.7677777777777779,0,1,1,0.8,0.2,4,4,0
SHIP000034,9,2,2023-10-05,2023-10-07,2023-10-07,1,0.33666666666666667,0,1,0,0.2,0.0,10,3,0
SHIP000035,8,3,2023-01-03,2023-01-04,2023-01-09,2,0.05055555555555555,0,1,1,0.0,0.5,1,1,0
SHIP000036,2,6,2023-10-10,2023-10-12,2023-10-14,1,0.325,1,1,1,0.2,0.2,10,1,0
SHIP000037,7,2,2023-11-23,2023-11-29,2023-11-29,3,0.9366666666666665,0,1,0,1.0000000000000002,0.0,11,3,0
SHIP000038,9,8,2023-07-24,2023-07-27,2023-07-27,2,0.42277777777777775,0,1,0,0.4000000000000001,0.0,7,0,0
SHIP000039,3,5,2024-02-09,2024-02-15,2024-02-18,2,0.9822222222222221,0,1,1,1.0000000000000002,0.30000000000000004,2,4,0
SHIP000040,2,9,2023-05-31,2023-06-01,2023-06-04,1,0.07388888888888889,0,1,1,0.0,0.30000000000000004,5,2,0
SHIP000041,2,9,2023-06-07,2023-06-12,2023-06-14,2,0.7294444444444443,0,0,1,0.8,0.2,6,2,0
SHIP000042,0,6,2023-12-25,2023-12-29,2023-12-30,1,0.5711111111111111,0,2,1,0.6000000000000001,0.1,12,0,0
SHIP000043,6,8,2023-06-19,2023-06-21,2023-06-24,1,0.37333333333333335,2,0,1,0.2,0.30000000000000004,6,0,0
SHIP000044,8,5,2023-11-28,2023-11-30,2023-11-30,0,0.34,0,1,0,0.2,0.0,11,1,0
SHIP000045,0,3,2024-04-13,2024-04-17,2024-04-19,0,0.5800000000000001,0,1,1,0.6000000000000001,0.2,4,5,1
SHIP000046,8,0,2023-11-29,2023-11-30,2023-12-01,3,0.08611111111111111,0,2,1,0.0,0.1,11,2,0
SHIP000047,8,5,2024-05-17,2024-05-20,2024-05-20,0,0.5516666666666667,0,1,0,0.4000000000000001,0.0,5,4,0
SHIP000048,9,0,2023-08-07,2023-08-11,2023-08-12,3,0.6205555555555555,0,2,1,0.6000000000000001,0.1,8,0,0
SHIP000049,4,1,2023-05-08,2023-05-14,2023-05-16,2,0.9827777777777778,1,1,1,1.0000000000000002,0.2,5,0,0
SHIP000050,5,7,2023-02-23,2023-02-26,2023-02-26,3,0.41777777777777775,0,1,0,0.4000000000000001,0.0,2,3,0
SHIP000051,2,3,2024-03-25,2024-03-27,2024-03-28,1,0.22444444444444445,0,2,1,0.2,0.1,3,0,0
SHIP000052,6,1,2024-01-29,2024-02-01,2024-02-01,3,0.5411111111111111,0,1,0,0.4000000000000001,0.0,1,0,0
SHIP000053,7,4,2023-02-26,2023-02-27,2023-02-27,2,0.09,0,1,0,0.0,0.0,2,6,1
SHIP000054,3,6,2023-02-28,2023-03-03,2023-03-04,0,0.44722222222222224,0,2,1,0.4000000000000001,0.1,2,1,0
SHIP000055,1,2,2023-03-05,2023-03-09,2023-03-12,0,0.5833333333333333,0,1,1,0.6000000000000001,0.30000000000000004,3,6,1
SHIP000056,4,9,2023-10-27,2023-10-31,2023-11-02,3,0.6033333333333333,1,1,1,0.6000000000000001,0.2,10,4,0
SHIP000057,6,5,2023-07-31,2023-08-05,2023-08-12,0,0.7338888888888888,1,1,1,0.8,0.7000000000000001,7,0,0
SHIP000058,2,8,2024-04-01,2024-04-04,2024-04-06,1,0.4005555555555556,1,1,1,0.4000000000000001,0.2,4,0,0
SHIP000059,0,6,2024-03-02,2024-03-06,2024-03-07,1,0.673888888888889,2,1,1,0.6000000000000001,0.1,3,5,1
SHIP000060,7,1,2023-03-10,2023-03-11,2023-03-12,1,0.19666666666666666,0,2,1,0.0,0.1,3,4,0
SHIP000061,2,9,2023-01-27,2023-01-28,2023-01-31,1,0.17944444444444446,0,1,1,0.0,0.30000000000000004,1,4,0
SHIP000062,5,8,2023-09-01,2023-09-05,2023-09-06,0,0.6483333333333334,0,2,1,0.6000000000000001,0.1,9,4,0
SHIP000063,2,3,2023-08-03,2023-08-08,2023-08-13,2,0.8205555555555555,2,1,1,0.8,0.5,8,3,0
SHIP000064,4,7,2024-03-30,2024-03-31,2024-03-31,0,0.1433333333333333,0,1,0,0.0,0.0,3,5,1
SHIP000065,3,6,2023-12-11,2023-12-12,2023-12-15,0,0.16444444444444445,0,2,1,0.0,0.30000000000000004,12,0,0
SHIP000067,7,9,2024-05-08,2024-05-09,2024-05-13,0,0.14166666666666666,0,1,1,0.0,0.4,5,2,0
SHIP000068,1,6,2023-07-06,2023-07-07,2023-07-09,3,0.19444444444444448,0,1,1,0.0,0.2,7,3,0
SHIP000069,7,6,2023-01-14,2023-01-19,2023-01-20,0,0.8433333333333333,0,2,1,0.8,0.1,1,5,1
SHIP000070,2,4,2023-08-23,2023-08-25,2023-08-26,2,0.2316666666666667,0,2,1,0.2,0.1,8,2,0
SHIP000071,2,1,2023-12-05,2023-12-07,2023-12-11,0,0.37722222222222224,0,0,1,0.2,0.4,12,1,0
SHIP000072,7,8,2023-12-25,2023-12-27,2023-12-28,1,0.2683333333333333,0,2,1,0.2,0.1,12,0,0
SHIP000073,7,0,2023-01-05,2023-01-07,2023-01-08,1,0.23833333333333334,0,2,1,0.2,0.1,1,3,0
SHIP000074,4,3,2023-12-20,2023-12-23,2023-12-23,1,0.49166666666666664,0,1,0,0.4000000000000001,0.0,12,2,0
SHIP000075,8,3,2024-03-04,2024-03-08,2024-03-12,3,0.5800000000000001,3,2,1,0.6000000000000001,0.4,3,0,0
SHIP000076,8,2,2023-11-14,2023-11-19,2023-11-20,2,0.7877777777777777,2,1,1,0.8,0.1,11,1,0
SHIP000077,3,6,2023-07-01,2023-07-04,2023-07-05,0,0.53,0,2,1,0.4000000000000001,0.1,7,5,1
SHIP000078,6,1,2023-04-07,2023-04-13,2023-04-15,1,0.9333333333333333,2,2,1,1.0000000000000002,0.2,4,4,0
SHIP000079,8,4,2023-09-23,2023-09-24,2023-09-24,0,0.07555555555555557,0,1,0,0.0,0.0,9,5,1
SHIP000080,9,5,2023-10-06,2023-10-12,2023-10-18,1,0.9161111111111111,0,2,1,1.0000000000000002,0.6000000000000001,10,4,0
SHIP000081,5,0,2024-02-24,2024-02-25,2024-02-27,3,0.12277777777777779,2,2,1,0.0,0.2,2,5,1
SHIP000082,0,1,2023-12-26,2023-12-28,2023-12-31,3,0.2916666666666667,0,2,1,0.2,0.30000000000000004,12,1,0
SHIP000083,8,2,2023-09-26,2023-09-30,2023-10-02,3,0.6072222222222223,0,1,1,0.6000000000000001,0.2,9,1,0
SHIP000084,2,7,2023-05-06,2023-05-12,2023-05-14,1,0.9155555555555555,1,1,1,1.0000000000000002,0.2,5,5,1
SHIP000085,5,6,2023-12-22,2023-12-26,2023-12-28,2,0.6405555555555555,0,1,1,0.6000000000000001,0.2,12,4,0
SHIP000086,0,1,2024-04-01,2024-04-02,2024-04-02,2,0.20222222222222225,0,1,0,0.0,0.0,4,0,0
SHIP000087,6,5,2023-09-25,2023-10-01,2023-10-01,2,0.8966666666666667,0,1,0,1.0000000000000002,0.0,9,0,0
SHIP000088,7,3,2023-07-18,2023-07-19,2023-07-26,3,0.11555555555555555,1,1,1,0.0,0.7000000000000001,7,1,0
SHIP000089,1,6,2024-04-07,2024-04-08,2024-04-08,2,0.21500000000000002,0,1,0,0.0,0.0,4,6,1
SHIP000090,2,5,2023-04-01,2023-04-04,2023-04-05,0,0.45388888888888884,0,2,1,0.4000000000000001,0.1,4,5,1
SHIP000091,1,7,2024-03-10,2024-03-12,2024-03-17,3,0.23722222222222222,2,2,1,0.2,0.5,3,6,1
SHIP000092,8,6,2023-03-26,2023-03-28,2023-04-02,3,0.22333333333333333,0,1,1,0.2,0.5,3,6,1
SHIP000093,9,3,2023-04-24,2023-04-25,2023-04-28,2,0.17777777777777776,0,1,1,0.0,0.30000000000000004,4,0,0
SHIP000094,5,1,2023-11-17,2023-11-21,2023-11-23,1,0.6566666666666667,0,0,1,0.6000000000000001,0.2,11,4,0
SHIP000095,9,4,2023-04-28,2023-04-29,2023-05-03,1,0.1766666666666667,0,0,1,0.0,0.4,4,4,0
SHIP000096,3,9,2024-03-09,2024-03-14,2024-03-16,2,0.7694444444444444,1,1,1,0.8,0.2,3,5,1
SHIP000097,8,7,2023-12-22,2023-12-28,2023-12-30,0,0.9227777777777777,0,1,1,1.0000000000000002,0.2,12,4,0
SHIP000098,2,4,2023-03-03,2023-03-04,2023-03-06,3,0.01777777777777778,1,1,1,0.0,0.2,3,4,0
SHIP000099,4,8,2023-05-02,2023-05-05,2023-05-09,0,0.4666666666666666,1,0,1,0.4000000000000001,0.4,5,1,0
SHIP000100,8,0,2023-11-21,2023-11-25,2023-11-29,0,0.6744444444444444,3,2,1,0.6000000000000001,0.4,11,1,0
SHIP000102,5,0,2023-10-28,2023-11-02,2023-11-04,2,0.8377777777777777,0,0,1,0.8,0.2,10,5,1
SHIP000103,0,1,2024-02-28,2024-03-05,2024-03-10,2,0.9105555555555556,0,0,1,1.0000000000000002,0.5,2,2,0
SHIP000104,5,3,2023-05-30,2023-06-03,2023-06-04,0,0.7194444444444446,0,2,1,0.6000000000000001,0.1,5,1,0
SHIP000105,3,0,2024-04-17,2024-04-21,2024-04-21,1,0.6333333333333333,0,1,0,0.6000000000000001,0.0,4,2,0
SHIP000106,6,0,2023-05-31,2023-06-01,2023-06-03,2,0.09111111111111111,0,0,1,0.0,0.2,5,2,0
SHIP000107,6,0,2023-12-04,2023-12-09,2023-12-12,3,0.8477777777777777,1,2,1,0.8,0.30000000000000004,12,0,0
SHIP000108,8,0,2023-03-02,2023-03-05,2023-03-06,3,0.54,2,1,1,0.4000000000000001,0.1,3,3,0
SHIP000109,4,6,2023-12-16,2023-12-17,2023-12-19,1,0.16722222222222222,0,0,1,0.0,0.2,12,5,1
SHIP000110,5,4,2023-04-18,2023-04-21,2023-04-23,1,0.4666666666666666,0,0,1,0.4000000000000001,0.2,4,1,0
SHIP000111,8,0,2024-04-19,2024-04-24,2024-04-29,2,0.7972222222222223,1,1,1,0.8,0.5,4,4,0
SHIP000112,0,6,2023-05-11,2023-05-15,2023-05-16,3,0.5883333333333334,0,2,1,0.6000000000000001,0.1,5,3,0
SHIP000113,7,0,2024-03-20,2024-03-22,2024-03-22,3,0.32166666666666666,0,1,0,0.2,0.0,3,2,0
SHIP000114,0,8,2023-07-20,2023-07-22,2023-07-28,2,0.33055555555555555,0,2,1,0.2,0.6000000000000001,7,3,0
SHIP000115,8,0,2024-01-26,2024-01-27,2024-01-27,1,0.008333333333333345,0,1,0,0.0,0.0,1,4,0
SHIP000116,4,8,2024-01-26,2024-01-28,2024-01-30,0,0.28833333333333333,0,0,1,0.2,0.2,1,4,0
SHIP000117,2,1,2023-10-06,2023-10-11,2023-10-11,1,0.7916666666666667,0,1,0,0.8,0.0,10,4,0
SHIP000118,6,3,2023-07-14,2023-07-20,2023-07-25,3,0.9888888888888889,0,0,1,1.0000000000000002,0.5,7,4,0
SHIP000119,9,7,2023-05-21,2023-05-27,2023-05-29,2,0.9649999999999999,0,1,1,1.0000000000000002,0.2,5,6,1
SHIP000121,9,8,2024-01-24,2024-01-25,2024-01-26,3,0.08944444444444444,0,2,1,0.0,0.1,1,2,0
SHIP000122,1,6,2023-09-18,2023-09-23,2023-09-24,2,0.798888888888889,0,2,1,0.8,0.1,9,0,0
SHIP000123,5,1,2023-05-05,2023-05-10,2023-05-10,2,0.835,0,1,0,0.8,0.0,5,4,0
SHIP000124,1,3,2023-02-11,2023-02-12,2023-02-12,1,0.11666666666666667,0,1,0,0.0,0.0,2,5,1
SHIP000125,3,1,2024-03-22,2024-03-23,2024-03-24,3,0.06722222222222224,0,2,1,0.0,0.1,3,4,0
SHIP000127,0,4,2024-03-02,2024-03-05,2024-03-05,1,0.4183333333333334,0,1,0,0.4000000000000001,0.0,3,5,1
SHIP000128,8,4,2024-03-22,2024-03-28,2024-03-29,0,0.9588888888888889,0,2,1,1.0000000000000002,0.1,3,4,0
SHIP000129,5,4,2023-03-09,2023-03-13,2023-03-15,0,0.6183333333333334,0,0,1,0.6000000000000001,0.2,3,3,0
SHIP000130,8,0,2023-06-15,2023-06-16,2023-06-18,2,0.21000000000000002,0,1,1,0.0,0.2,6,3,0
SHIP000132,1,3,2024-02-21,2024-02-24,2024-02-25,1,0.48500000000000004,0,2,1,0.4000000000000001,0.1,2,2,0
SHIP000133,4,2,2024-01-13,2024-01-16,2024-01-16,3,0.5111111111111111,0,1,0,0.4000000000000001,0.0,1,5,1
SHIP000134,0,4,2023-12-15,2023-12-20,2023-12-24,1,0.8727777777777779,0,0,1,0.8,0.4,12,4,0
SHIP000135,5,9,2023-07-04,2023-07-06,2023-07-06,3,0.25333333333333335,0,1,0,0.2,0.0,7,1,0
SHIP000136,9,4,2023-03-08,2023-03-11,2023-03-16,0,0.5066666666666666,0,2,1,0.4000000000000001,0.5,3,2,0
SHIP000138,2,4,2023-11-06,2023-11-09,2023-11-09,0,0.5494444444444444,0,1,0,0.4000000000000001,0.0,11,0,0
SHIP000139,4,8,2024-04-29,2024-05-04,2024-05-05,2,0.7833333333333334,0,2,1,0.8,0.1,4,0,0
SHIP000140,7,2,2023-12-18,2023-12-22,2023-12-24,1,0.586111111111111,1,1,1,0.6000000000000001,0.2,12,0,0
SHIP000141,2,0,2024-05-08,2024-05-11,2024-05-12,0,0.5005555555555556,0,2,1,0.4000000000000001,0.1,5,2,0
SHIP000142,8,6,2023-07-29,2023-08-02,2023-08-04,0,0.6300000000000001,2,2,1,0.6000000000000001,0.2,7,5,1
SHIP000143,2,6,2023-06-05,2023-06-10,2023-06-11,1,0.8794444444444445,2,1,1,0.8,0.1,6,0,0
SHIP000144,2,9,2023-04-23,2023-04-25,2023-04-25,3,0.22388888888888892,0,1,0,0.2,0.0,4,6,1
SHIP000145,1,6,2023-10-28,2023-11-01,2023-11-01,1,0.5972222222222223,0,1,0,0.6000000000000001,0.0,10,5,1
SHIP000146,2,3,2024-04-26,2024-04-27,2024-04-27,0,0.21166666666666667,0,1,0,0.0,0.0,4,4,0
SHIP000147,9,0,2023-05-21,2023-05-25,2023-05-28,0,0.6522222222222223,0,1,1,0.6000000000000001,0.30000000000000004,5,6,1
SHIP000148,0,4,2023-10-29,2023-10-30,2023-11-06,2,0.0016666666666666774,1,0,1,0.0,0.7000000000000001,10,6,1
SHIP000149,8,6,2023-03-24,2023-03-25,2023-03-27,0,0.15333333333333332,1,1,1,0.0,0.2,3,4,0
SHIP000150,4,5,2024-04-08,2024-04-10,2024-04-10,3,0.2222222222222222,0,1,0,0.2,0.0,4,0,0
SHIP000151,9,7,2024-02-21,2024-02-25,2024-03-01,1,0.6933333333333334,0,1,1,0.6000000000000001,0.5,2,2,0
SHIP000152,6,7,2023-11-02,2023-11-06,2023-11-06,3,0.6833333333333333,0,1,0,0.6000000000000001,0.0,11,3,0
SHIP000154,9,7,2023-07-21,2023-07-26,2023-07-31,2,0.76,3,1,1,0.8,0.5,7,4,0
SHIP000155,9,6,2023-08-15,2023-08-20,2023-08-22,2,0.7655555555555555,0,0,1,0.8,0.2,8,1,0
SHIP000156,6,8,2024-01-07,2024-01-10,2024-01-11,1,0.5405555555555555,2,1,1,0.4000000000000001,0.1,1,6,1
SHIP000157,4,0,2023-12-12,2023-12-14,2023-12-18,2,0.3477777777777778,0,1,1,0.2,0.4,12,1,0
SHIP000158,0,1,2024-03-31,2024-04-03,2024-04-03,3,0.48166666666666663,0,1,0,0.4000000000000001,0.0,3,6,1
SHIP000159,1,4,2023-08-21,2023-08-26,2023-08-27,2,0.8688888888888888,0,2,1,0.8,0.1,8,0,0
SHIP000160,3,0,2024-04-22,2024-04-26,2024-04-28,3,0.5766666666666667,0,0,1,0.6000000000000001,0.2,4,0,0
SHIP000161,4,0,2024-05-22,2024-05-23,2024-05-24,1,0.20222222222222225,0,2,1,0.0,0.1,5,2,0
SHIP000162,0,6,2024-06-01,2024-06-04,2024-06-05,0,0.4205555555555555,2,1,1,0.4000000000000001,0.1,6,5,1
SHIP000163,7,5,2023-02-19,2023-02-24,2023-02-25,3,0.8033333333333332,0,2,1,0.8,0.1,2,6,1
SHIP000164,3,1,2024-02-19,2024-02-21,2024-02-21,1,0.2361111111111111,0,1,0,0.2,0.0,2,0,0
SHIP000165,2,1,2023-07-10,2023-07-16,2023-07-17,1,0.9655555555555555,2,1,1,1.0000000000000002,0.1,7,0,0
SHIP000166,1,9,2023-08-24,2023-08-25,2023-08-27,2,0.04555555555555557,0,0,1,0.0,0.2,8,3,0
SHIP000167,6,8,2023-07-01,2023-07-06,2023-07-07,2,0.7972222222222223,0,2,1,0.8,0.1,7,5,1
SHIP000168,7,9,2023-02-01,2023-02-06,2023-02-09,1,0.8377777777777777,0,1,1,0.8,0.30000000000000004,2,2,0
SHIP000169,6,1,2023-08-29,2023-09-01,2023-09-01,3,0.455,0,1,0,0.4000000000000001,0.0,8,1,0
SHIP000170,3,8,2023-01-12,2023-01-13,2023-01-16,1,0.17888888888888888,3,1,1,0.0,0.30000000000000004,1,3,0
SHIP000171,1,0,2024-04-11,2024-04-14,2024-04-15,3,0.425,0,2,1,0.4000000000000001,0.1,4,3,0
SHIP000172,6,4,2024-05-26,2024-05-29,2024-05-29,2,0.4777777777777778,0,1,0,0.4000000000000001,0.0,5,6,1
SHIP000173,4,1,2024-04-12,2024-04-16,2024-04-17,3,0.701111111111111,0,2,1,0.6000000000000001,0.1,4,4,0
SHIP000174,7,3,2023-04-02,2023-04-06,2023-04-08,0,0.6388888888888888,0,0,1,0.6000000000000001,0.2,4,6,1
SHIP000175,9,5,2023-10-04,2023-10-09,2023-10-14,1,0.865,0,2,1,0.8,0.5,10,2,0
SHIP000176,9,5,2024-02-07,2024-02-10,2024-02-14,2,0.4333333333333333,0,0,1,0.4000000000000001,0.4,2,2,0
SHIP000177,5,0,2023-03-08,2023-03-09,2023-03-11,2,0.053333333333333344,0,0,1,0.0,0.2,3,2,0
SHIP000178,2,3,2024-03-10,2024-03-13,2024-03-16,0,0.40499999999999997,3,1,1,0.4000000000000001,0.30000000000000004,3,6,1
SHIP000179,5,3,2024-02-17,2024-02-18,2024-02-23,2,0.02111111111111111,0,1,1,0.0,0.5,2,5,1
SHIP000180,8,9,2023-08-28,2023-09-01,2023-09-01,3,0.6955555555555555,0,1,0,0.6000000000000001,0.0,8,0,0
SHIP000181,6,2,2023-03-28,2023-04-01,2023-04-01,0,0.6866666666666668,0,1,0,0.6000000000000001,0.0,3,1,0
SHIP000182,5,2,2023-01-25,2023-01-27,2023-01-28,0,0.24,0,2,1,0.2,0.1,1,2,0
SHIP000183,8,5,2023-12-10,2023-12-14,2023-12-16,0,0.5716666666666668,2,2,1,0.6000000000000001,0.2,12,6,1
SHIP000184,4,5,2023-06-15,2023-06-18,2023-06-19,1,0.4305555555555555,0,2,1,0.4000000000000001,0.1,6,3,0
SHIP000185,0,8,2023-10-01,2023-10-02,2023-10-04,0,0.19111111111111112,0,0,1,0.0,0.2,10,6,1
SHIP000186,9,7,2023-12-03,2023-12-08,2023-12-11,1,0.8716666666666666,2,0,1,0.8,0.30000000000000004,12,6,1
SHIP000187,1,5,2023-10-08,2023-10-14,2023-10-22,3,0.9777777777777776,1,0,1,1.0000000000000002,0.8,10,6,1
SHIP000188,0,6,2023-07-06,2023-07-11,2023-07-16,2,0.7955555555555556,0,0,1,0.8,0.5,7,3,0
SHIP000190,4,8,2023-02-04,2023-02-08,2023-02-09,1,0.6877777777777778,0,2,1,0.6000000000000001,0.1,2,5,1
SHIP000191,9,5,2023-03-02,2023-03-05,2023-03-07,2,0.46555555555555556,1,1,1,0.4000000000000001,0.2,3,3,0
SHIP000192,9,1,2023-08-27,2023-08-30,2023-09-01,3,0.42611111111111116,1,1,1,0.4000000000000001,0.2,8,6,1
SHIP000193,9,2,2023-04-05,2023-04-06,2023-04-13,3,0.024444444444444463,2,2,1,0.0,0.7000000000000001,4,2,0
SHIP000194,2,3,2023-06-14,2023-06-17,2023-06-19,2,0.3955555555555556,0,0,1,0.4000000000000001,0.2,6,2,0
SHIP000195,2,5,2023-05-15,2023-05-18,2023-05-21,2,0.47000000000000003,3,1,1,0.4000000000000001,0.30000000000000004,5,0,0
SHIP000196,0,6,2023-07-17,2023-07-18,2023-07-19,0,0.18944444444444447,0,2,1,0.0,0.1,7,0,0
SHIP000198,2,6,2024-03-18,2024-03-22,2024-03-23,2,0.6661111111111111,0,2,1,0.6000000000000001,0.1,3,0,0
SHIP000199,0,5,2023-04-27,2023-04-30,2023-04-30,0,0.45722222222222225,0,1,0,0.4000000000000001,0.0,4,3,0
SHIP000200,6,4,2023-12-14,2023-12-19,2023-12-20,2,0.8244444444444445,0,2,1,0.8,0.1,12,3,0
SHIP000202,7,4,2023-02-03,2023-02-08,2023-02-11,0,0.8122222222222222,3,1,1,0.8,0.30000000000000004,2,4,0
SHIP000203,9,1,2024-03-22,2024-03-25,2024-03-26,2,0.41944444444444445,2,1,1,0.4000000000000001,0.1,3,4,0
SHIP000204,1,9,2024-03-21,2024-03-23,2024-03-25,3,0.37222222222222223,1,1,1,0.2,0.2,3,3,0
SHIP000205,9,7,2023-08-07,2023-08-11,2023-08-13,1,0.565,2,2,1,0.6000000000000001,0.2,8,0,0
SHIP000206,7,6,2023-04-17,2023-04-20,2023-04-20,1,0.4616666666666667,0,1,0,0.4000000000000001,0.0,4,0,0
SHIP000207,1,7,2024-05-08,2024-05-14,2024-05-15,1,0.9022222222222223,0,2,1,1.0000000000000002,0.1,5,2,0
SHIP000208,0,7,2023-07-01,2023-07-03,2023-07-03,3,0.3288888888888889,0,1,0,0.2,0.0,7,5,1
SHIP000209,1,3,2023-02-02,2023-02-04,2023-02-04,2,0.2916666666666667,0,1,0,0.2,0.0,2,3,0
SHIP000210,1,8,2023-08-05,2023-08-08,2023-08-10,3,0.4083333333333334,2,2,1,0.4000000000000001,0.2,8,5,1
SHIP000211,0,1,2024-05-05,2024-05-07,2024-05-08,2,0.24333333333333335,2,1,1,0.2,0.1,5,6,1
SHIP000212,6,8,2023-05-11,2023-05-13,2023-05-19,0,0.26333333333333336,1,1,1,0.2,0.6000000000000001,5,3,0
SHIP000213,0,2,2023-12-31,2024-01-01,2024-01-09,2,0.08277777777777778,3,1,1,0.0,0.8,12,6,1
SHIP000214,9,8,2023-11-11,2023-11-13,2023-11-15,2,0.37277777777777776,0,0,1,0.2,0.2,11,5,1
SHIP000216,7,5,2023-03-14,2023-03-15,2023-03-15,3,0.11722222222222223,0,1,0,0.0,0.0,3,1,0
SHIP000217,2,0,2023-07-05,2023-07-11,2023-07-12,3,0.8994444444444445,0,2,1,1.0000000000000002,0.1,7,2,0
SHIP000218,0,3,2023-10-19,2023-10-21,2023-10-27,0,0.335,2,2,1,0.2,0.6000000000000001,10,3,0
SHIP000219,6,0,2024-04-05,2024-04-10,2024-04-10,0,0.7677777777777779,0,1,0,0.8,0.0,4,4,0
